system:index,area_km2,band,class,class_name,.geo
12_0_8,462.3449882674551,classification_1997,25,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_9,0.13316355407714847,classification_1997,27,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_10,110.12550522581978,classification_1997,29,Rocky outcrop,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_11,11.13605127746582,classification_1997,30,Mining,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_12,102.99439531086409,classification_1997,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_13,23.453415260929525,classification_1997,34,Glacier,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_14,38.054092880310336,classification_1997,68,Other natural non-vegetated area,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_0,7186.230937742772,classification_1998,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_1,68.00535613220231,classification_1998,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_2,21.11734572802732,classification_1998,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_3,4311.966512987572,classification_1998,13,Other Non Forest Natural Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_4,10708.773034530994,classification_1998,21,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_5,25.152369135833304,classification_1998,23,Beach and Dune,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_6,33.29676909008789,classification_1998,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_7,456.2901030672652,classification_1998,25,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_8,0.13316355407714847,classification_1998,27,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_9,119.62324833909507,classification_1998,29,Rocky outcrop,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_10,12.207619361572267,classification_1998,30,Mining,"{""type"":""MultiPoint"",""coordinates"":[]}"
